AACC,Asian American and Asian Resource and Cultural Center,https://www.google.com/maps/search/Asian+American+and+Asian+Resource+and+Cultural+Center+Purdue+University
AAPF,Ag Alumni Seed Phenotyping Facility,https://www.google.com/maps/search/Ag+Alumni+Seed+Phenotyping+Facility+Purdue+University
ABE,Agricultural and Biological Engineering,https://www.google.com/maps/search/Agricultural+and+Biological+Engineering+Purdue+University
ADDL,Willie M. Reed Animal Disease Diagnostic Laboratory,https://www.google.com/maps/search/Willie+M.+Reed+Animal+Disease+Diagnostic+Laboratory+Purdue+University
ADM,ADM Agricultural Innovation Center,https://www.google.com/maps/search/ADM+Agricultural+Innovation+Center+Purdue+University
AERO,Aerospace Science Laboratory,https://www.google.com/maps/search/Aerospace+Science+Laboratory+Purdue+University
AGAD,Agricultural Administration Building,https://www.google.com/maps/search/Agricultural+Administration+Building+Purdue+University
AHF,Animal Holding Facility,https://www.google.com/maps/search/Animal+Holding+Facility+Purdue+University
AQUA,Burke (Morgan J.) Boilermaker Aquatic Center,https://www.google.com/maps/search/Burke+(Morgan+J.)+Boilermaker+Aquatic+Center+Purdue+University
AR,Armory,https://www.google.com/maps/search/Armory+Purdue+University
ARMS,Armstrong (Neil) Hall of Engineering,https://www.google.com/maps/search/Armstrong+(Neil)+Hall+of+Engineering+Purdue+University
ASB,Airport Service Building (Shop Services),https://www.google.com/maps/search/Airport+Service+Building+(Shop+Services)+Purdue+University
BALY,Bailey (Ralph and Bettye) Hall,https://www.google.com/maps/search/Bailey+(Ralph+and+Bettye)+Hall+Purdue+University
BCC,Black Cultural Center,https://www.google.com/maps/search/Black+Cultural+Center+Purdue+University
BCHM,Biochemistry Building,https://www.google.com/maps/search/Biochemistry+Building+Purdue+University
BHEE,Brown (Max W & Maileen) Family Hall,https://www.google.com/maps/search/Brown+(Max+W+&+Maileen)+Family+Hall+Purdue+University
BIDC,Bechtel Innovation Design Center,https://www.google.com/maps/search/Bechtel+Innovation+Design+Center+Purdue+University
BIND,Bindley Bioscience Center,https://www.google.com/maps/search/Bindley+Bioscience+Center+Purdue+University
BOWN,Bowen (Robert L. & Terry L. ) Laboratory,https://www.google.com/maps/search/Bowen+(Robert+L.+&+Terry+L.+)+Laboratory+Purdue+University
BREQ,Brunner (David and Bonnie) Equine Hospital,https://www.google.com/maps/search/Brunner+(David+and+Bonnie)+Equine+Hospital+Purdue+University
BRES,Brees (Drew and Brittany) Student-Athlete Academic Center,https://www.google.com/maps/search/Brees+(Drew+and+Brittany)+Student-Athlete+Academic+Center+Purdue+University
BRFM,Brunner (David and Bonnie) Farm Animal Hospital,https://www.google.com/maps/search/Brunner+(David+and+Bonnie)+Farm+Animal+Hospital+Purdue+University
BRUN,Brunner (David and Bonnie) Small Animal Hospital,https://www.google.com/maps/search/Brunner+(David+and+Bonnie)+Small+Animal+Hospital+Purdue+University
BRK,Birck Nanotechnology Center,https://www.google.com/maps/search/Birck+Nanotechnology+Center+Purdue+University
BRNG,Beering (Steven C.) Hall of Liberal Arts and Education,https://www.google.com/maps/search/Beering+(Steven+C.)+Hall+of+Liberal+Arts+and+Education+Purdue+University
BRWN,Brown (Herbert C.) Laboratory of Chemistry,https://www.google.com/maps/search/Brown+(Herbert+C.)+Laboratory+of+Chemistry+Purdue+University
BTV,Boiler Television Building,https://www.google.com/maps/search/Boiler+Television+Building+Purdue+University
CHAF,Chaffee Hall,https://www.google.com/maps/search/Chaffee+Hall+Purdue+University
CHAS,Chaney-Hale Hall of Science,https://www.google.com/maps/search/Chaney-Hale+Hall+of+Science+Purdue+University
COMP,Composites Laboratory,https://www.google.com/maps/search/Composites+Laboratory+Purdue+University
CONT,Continuum,https://www.google.com/maps/search/Continuum+Purdue+University
CONV,Convergence,https://www.google.com/maps/search/Convergence+Purdue+University
CREC,Córdova (France A.) Recreational Sports Center,https://www.google.com/maps/search/Córdova+(France+A.)+Recreational+Sports+Center+Purdue+University
CRTN,Creighton (Hobart and Russell) Hall of Animal Sciences,https://www.google.com/maps/search/Creighton+(Hobart+and+Russell)+Hall+of+Animal+Sciences+Purdue+University
DANL,Daniel (William H.) Turfgrass Research Center,https://www.google.com/maps/search/Daniel+(William+H.)+Turfgrass+Research+Center+Purdue+University
DAUC,Dauch (Dick and Sandy) Alumni Center,https://www.google.com/maps/search/Dauch+(Dick+and+Sandy)+Alumni+Center+Purdue+University
DLR,Hall for Discovery and Learning Research,https://www.google.com/maps/search/Hall+for+Discovery+and+Learning+Research+Purdue+University
DMNT,DeMent (Clayton W.) Fire Station,https://www.google.com/maps/search/DeMent+(Clayton+W.)+Fire+Station+Purdue+University
DOYL,Doyle (Leo Philip) Laboratory,https://www.google.com/maps/search/Doyle+(Leo+Philip)+Laboratory+Purdue+University
DRUG,Drug Discovery,https://www.google.com/maps/search/Drug+Discovery+Purdue+University
DSAI,Hall of Data Science and AI,https://www.google.com/maps/search/Hall+of+Data+Science+and+AI+Purdue+University
DUDL,Dudley Hall,https://www.google.com/maps/search/Dudley+Hall+Purdue+University
DYE,Pete Dye Clubhouse,https://www.google.com/maps/search/Pete+Dye+Clubhouse+Purdue+University
ECEC,Purdue University Early Care and Education Center,https://www.google.com/maps/search/Purdue+University+Early+Care+and+Education+Center+Purdue+University
EEL,Entomology Environmental Laboratory,https://www.google.com/maps/search/Entomology+Environmental+Laboratory+Purdue+University
EHSA,Equine Health Sciences Annex,https://www.google.com/maps/search/Equine+Health+Sciences+Annex+Purdue+University
EHSB,Equine Health Sciences Building,https://www.google.com/maps/search/Equine+Health+Sciences+Building+Purdue+University
ELLT,Elliott (Edward C.) Hall of Music,https://www.google.com/maps/search/Elliott+(Edward+C.)+Hall+of+Music+Purdue+University
FLEX,Flex Laboratories,https://www.google.com/maps/search/Flex+Laboratories+Purdue+University
FOPN,Flight Operations Building,https://www.google.com/maps/search/Flight+Operations+Building+Purdue+University
FORS,Forestry Building,https://www.google.com/maps/search/Forestry+Building+Purdue+University
FPRD,Forest Products Building,https://www.google.com/maps/search/Forest+Products+Building+Purdue+University
FRNY,Forney Hall of Chemical Engineering,https://www.google.com/maps/search/Forney+Hall+of+Chemical+Engineering+Purdue+University
