,,,,,
Subject,Subject Desc,Course Number,Title,Academic Period Desc,CRN
AAE,AAE-Aero & Astro Engineering,20000,Ugrad Sophomore Seminar,Fall 2024,17446
,,20300,Aeromechanics I,Fall 2024,67031
,,,,,13363
,,,,,27568
,,,,,20540
,,20400,Aeromechanics II,Fall 2024,10002
,,20401,Aeromechanics II Lab,Fall 2024,10005
,,,,,14924
,,,,,14345
,,,,,17201
,,,,,17203
,,,,,27141
,,,,,27142
,,,,,27143
,,25100,Intro Aerospace Design,Fall 2024,57302
,,,,,11910
,,,,,25083
,,30000,Ugrad Junior Seminar,Fall 2024,56743
,,30100,Sig Anly For Aero Engr,Fall 2024,10010
,,,,,13304
,,33300,Fluid Mechanics,Fall 2024,11528
,,,,,13884
,,,,,14762
,,33301,Fluid Mechanics Lab,Fall 2024,10012
,,,,,10015
,,,,,10016
,,,,,19022
,,,,,15764
,,,,,15766
,,,,,19906
,,,,,14331
,,,,,17236
,,,,,17237
,,,,,17239
,,,,,17240
,,,,,17241
,,,,,17245
,,,,,24750
,,,,,24751
,,33400,Aerodynamics,Fall 2024,10023
,,,,,25073
,,,Aerodynamics-Honors,Fall 2024,10023
,,33401,Aerodynamics Lab,Fall 2024,10026
,,,,,10028
,,,,,10029
,,,,,11976
,,,,,11982
,,,,,16237
,,,,,18248
,,,,,17252
,,,,,17253
,,,,,17254
,,33800,Thermal Sciences,Fall 2024,12052
,,33900,Aerospace Propulsion,Fall 2024,14973
,,34000,Dynamics & Vibrations,Fall 2024,10031
,,,,,30161
,,35103,Aerospace Systems Design,Fall 2024,14824
,,35200,Structural Analysis I,Fall 2024,62157
,,,,,15811
,,,,,14934
,,,,,20077
,,36400,Control System Anly,Fall 2024,10036
,,,,,14760
,,36401,Control Systems Lab,Fall 2024,10037
,,,,,10039
,,,,,10040
,,,,,10041
,,,,,10042
,,,,,10043
,,,,,10044
,,,,,10046
,,,,,64712
,,,,,64732
,,,,,19722
,,,,,19724
,,,,,13898
,,,,,16210
,,,,,26261
,,,,,26262
